Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
440 nm,2.75E-07,8.71E-05,7.63E-05,6.89E-05,6.06E-05,5.26E-05,4.44E-05,3.67E-05,2.86E-05,1.25E-05,2.02E-05,4.28E-06
441 nm,3.78E-08,9.01E-05,8.10E-05,7.27E-05,6.31E-05,5.56E-05,4.72E-05,3.85E-05,3.03E-05,1.31E-05,2.11E-05,4.61E-06
442 nm,1.49E-07,9.48E-05,8.42E-05,7.50E-05,6.64E-05,5.77E-05,4.82E-05,4.01E-05,3.11E-05,1.36E-05,2.22E-05,4.62E-06
443 nm,1.78E-08,9.75E-05,8.67E-05,7.75E-05,6.95E-05,5.91E-05,5.01E-05,4.14E-05,3.16E-05,1.39E-05,2.26E-05,4.78E-06
444 nm,1.48E-07,1.00E-04,8.94E-05,7.88E-05,6.98E-05,6.07E-05,5.17E-05,4.18E-05,3.26E-05,1.41E-05,2.34E-05,4.78E-06
445 nm,1.69E-07,1.01E-04,9.00E-05,8.04E-05,7.07E-05,6.14E-05,5.20E-05,4.26E-05,3.29E-05,1.44E-05,2.37E-05,5.02E-06
446 nm,1.83E-07,1.00E-04,8.96E-05,7.97E-05,7.00E-05,6.07E-05,5.17E-05,4.21E-05,3.30E-05,1.45E-05,2.34E-05,5.00E-06
447 nm,1.63E-07,9.89E-05,8.72E-05,7.85E-05,6.91E-05,5.99E-05,5.06E-05,4.17E-05,3.25E-05,1.41E-05,2.33E-05,4.82E-06
448 nm,1.90E-07,9.58E-05,8.44E-05,7.59E-05,6.70E-05,5.84E-05,4.84E-05,4.01E-05,3.15E-05,1.38E-05,2.23E-05,4.69E-06
449 nm,2.17E-07,9.13E-05,8.14E-05,7.28E-05,6.33E-05,5.56E-05,4.74E-05,3.82E-05,3.01E-05,1.36E-05,2.14E-05,4.43E-06
450 nm,2.15E-07,8.63E-05,7.66E-05,6.85E-05,6.06E-05,5.23E-05,4.48E-05,3.61E-05,2.85E-05,1.26E-05,2.03E-05,4.31E-06
451 nm,2.30E-08,8.02E-05,7.19E-05,6.48E-05,5.70E-05,4.86E-05,4.22E-05,3.41E-05,2.65E-05,1.18E-05,1.92E-05,4.07E-06
452 nm,1.28E-07,7.50E-05,6.71E-05,5.98E-05,5.36E-05,4.61E-05,3.83E-05,3.22E-05,2.49E-05,1.11E-05,1.77E-05,3.80E-06
453 nm,1.24E-08,6.91E-05,6.18E-05,5.54E-05,4.83E-05,4.21E-05,3.54E-05,2.89E-05,2.29E-05,9.96E-06,1.65E-05,3.45E-06
454 nm,2.45E-07,6.31E-05,5.70E-05,5.09E-05,4.51E-05,3.87E-05,3.27E-05,2.72E-05,2.08E-05,9.27E-06,1.51E-05,3.24E-06
455 nm,2.87E-07,5.77E-05,5.18E-05,4.61E-05,4.10E-05,3.54E-05,2.97E-05,2.48E-05,1.95E-05,8.35E-06,1.37E-05,3.18E-06
456 nm,1.77E-07,5.29E-05,4.71E-05,4.28E-05,3.79E-05,3.25E-05,2.72E-05,2.23E-05,1.79E-05,7.86E-06,1.25E-05,2.61E-06
457 nm,6.57E-09,4.83E-05,4.34E-05,3.87E-05,3.36E-05,2.97E-05,2.51E-05,2.02E-05,1.63E-05,7.05E-06,1.17E-05,2.65E-06
458 nm,2.90E-07,4.31E-05,3.95E-05,3.51E-05,3.13E-05,2.70E-05,2.30E-05,1.87E-05,1.47E-05,6.18E-06,1.05E-05,2.24E-06
459 nm,5.40E-08,4.08E-05,3.66E-05,3.22E-05,2.83E-05,2.48E-05,2.12E-05,1.75E-05,1.36E-05,6.05E-06,9.59E-06,2.18E-06
460 nm,1.27E-07,3.61E-05,3.34E-05,3.01E-05,2.60E-05,2.24E-05,1.92E-05,1.58E-05,1.21E-05,5.44E-06,8.93E-06,2.11E-06
461 nm,1.40E-07,3.37E-05,3.09E-05,2.72E-05,2.41E-05,2.10E-05,1.80E-05,1.44E-05,1.18E-05,5.15E-06,8.32E-06,2.03E-06
462 nm,7.08E-08,3.21E-05,2.83E-05,2.54E-05,2.23E-05,1.97E-05,1.64E-05,1.36E-05,1.04E-05,4.72E-06,7.64E-06,1.85E-06
463 nm,1.35E-07,2.91E-05,2.64E-05,2.35E-05,2.12E-05,1.84E-05,1.57E-05,1.20E-05,1.02E-05,4.71E-06,7.37E-06,1.73E-06
464 nm,9.28E-08,2.67E-05,2.48E-05,2.27E-05,1.92E-05,1.68E-05,1.43E-05,1.17E-05,9.18E-06,4.25E-06,6.77E-06,1.53E-06
465 nm,2.32E-07,2.50E-05,2.28E-05,2.07E-05,1.76E-05,1.55E-05,1.35E-05,1.13E-05,8.66E-06,4.03E-06,6.27E-06,1.41E-06
466 nm,1.29E-07,2.36E-05,2.07E-05,1.88E-05,1.64E-05,1.44E-05,1.20E-05,9.95E-06,7.79E-06,3.69E-06,5.79E-06,1.32E-06
467 nm,8.28E-08,2.18E-05,1.94E-05,1.80E-05,1.54E-05,1.39E-05,1.14E-05,9.31E-06,7.57E-06,3.33E-06,5.55E-06,1.51E-06
468 nm,9.26E-08,2.06E-05,1.84E-05,1.61E-05,1.47E-05,1.26E-05,1.04E-05,8.52E-06,6.54E-06,3.12E-06,5.11E-06,1.16E-06
469 nm,2.69E-08,1.88E-05,1.65E-05,1.52E-05,1.34E-05,1.17E-05,9.95E-06,7.84E-06,6.38E-06,2.80E-06,4.70E-06,1.32E-06
