,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100,green_0
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:36am,11:36am,11:36am,11:36am,11:37am,11:37am,11:37am,11:37am,11:37am,11:37am,11:40am
T_int [ms],6762,3906,2672,2064,1697,1483,1281,1000,1000,929,312
470 nm,1.10956E-06,2.30551E-06,1.89542E-06,2.46969E-06,3.37703E-06,3.74240E-06,4.51293E-06,5.02494E-06,5.42969E-06,6.39708E-06,0.00000E+00
471 nm,1.17318E-06,2.21514E-06,2.94715E-06,2.95002E-06,4.18787E-06,5.22787E-06,5.96497E-06,6.18538E-06,5.47186E-06,7.98169E-06,2.08037E-06
472 nm,1.14046E-06,2.33728E-06,2.91141E-06,3.01408E-06,3.79656E-06,4.69149E-06,4.25917E-06,6.18913E-06,6.92268E-06,7.63452E-06,1.51742E-06
473 nm,1.69337E-06,2.01936E-06,2.78660E-06,3.52145E-06,5.76214E-06,4.50551E-06,6.56521E-06,6.87613E-06,6.99122E-06,7.69996E-06,0.00000E+00
474 nm,1.84990E-06,2.66103E-06,2.69695E-06,4.06487E-06,4.30536E-06,7.38838E-06,6.37385E-06,7.29268E-06,9.17917E-06,9.76269E-06,3.14738E-08
475 nm,1.45842E-06,2.43318E-06,3.99095E-06,5.22616E-06,5.28130E-06,7.10008E-06,6.64375E-06,7.67363E-06,8.61464E-06,9.93116E-06,1.27637E-06
476 nm,1.55606E-06,3.10819E-06,3.62928E-06,4.94405E-06,6.52046E-06,6.63657E-06,9.27832E-06,9.10733E-06,1.21617E-05,1.15066E-05,4.18899E-07
477 nm,1.90987E-06,3.00920E-06,4.33324E-06,5.39632E-06,7.15378E-06,8.51970E-06,9.22305E-06,1.11146E-05,1.19183E-05,1.36891E-05,1.98343E-09
478 nm,1.88686E-06,3.18997E-06,4.68056E-06,6.26856E-06,7.56638E-06,7.66149E-06,1.01749E-05,1.17786E-05,1.30023E-05,1.59187E-05,4.58808E-08
479 nm,2.05866E-06,3.90069E-06,5.23143E-06,6.87724E-06,9.11348E-06,1.00923E-05,1.23082E-05,1.31287E-05,1.44980E-05,1.64707E-05,1.72076E-06
480 nm,2.44065E-06,4.28171E-06,6.24032E-06,8.25383E-06,8.50214E-06,1.14813E-05,1.35893E-05,1.39619E-05,1.78719E-05,1.82713E-05,1.53592E-06
481 nm,2.68433E-06,5.05536E-06,6.77299E-06,9.05918E-06,9.82851E-06,1.23386E-05,1.44866E-05,1.63737E-05,1.80295E-05,2.14862E-05,9.58725E-07
482 nm,2.76330E-06,5.25816E-06,7.01385E-06,1.00094E-05,1.22249E-05,1.31190E-05,1.60945E-05,1.82914E-05,2.12865E-05,2.25353E-05,2.04354E-07
